geoid,state,county,tract,tract_name,total_population,total_population_moe,asian_alone,asian_alone_moe,asian_share_pct,chinese_except_taiwanese,chinese_except_taiwanese_moe,taiwanese_alone,taiwanese_alone_moe,chinese_total_estimate,chinese_total_moe,chinese_estimate_lower,chinese_estimate_upper,chinese_relative_moe,chinese_estimate_reliability,chinese_share_pct,chinese_share_of_asian_pct,median_household_income,median_household_income_moe,income_relative_moe,income_top_coded
06037700700,06,037,700700,Census Tract 7007; Los Angeles County; California,2935,578,88,129,3.0,83,128,0,14,83,128.76334882255898,0.0,211.76334882255898,1.5513656484645661,high_uncertainty,2.83,94.32,250001.0,,,True
06037700801,06,037,700801,Census Tract 7008.01; Los Angeles County; California,4176,458,619,321,14.82,85,108,45,70,130,128.70120434556935,1.2987956544306485,258.70120434556935,0.9900092641966873,usable_with_caution,3.11,21.0,85443.0,12234.0,0.14318317474807768,False
06037700802,06,037,700802,Census Tract 7008.02; Los Angeles County; California,4129,574,831,225,20.13,116,83,0,14,116,84.17244204607586,31.827557953924142,200.17244204607584,0.7256245003972057,usable_with_caution,2.81,13.96,121523.0,9537.0,0.07847897105897648,False
06037700901,06,037,700901,Census Tract 7009.01; Los Angeles County; California,4155,757,719,688,17.3,77,55,34,50,111,74.33034373659252,36.669656263407475,185.3303437365925,0.6696427363656984,usable_with_caution,2.67,15.44,104250.0,22647.0,0.21723741007194244,False
06037700902,06,037,700902,Census Tract 7009.02; Los Angeles County; California,6430,781,1093,498,17.0,113,134,8,32,121,137.7679207943562,0.0,258.7679207943562,1.1385778578045966,high_uncertainty,1.88,11.07,89683.0,41902.0,0.4672234425699408,False
06037701000,06,037,701000,Census Tract 7010; Los Angeles County; California,5078,622,506,353,9.96,272,239,0,19,272,239.75404063331237,32.24595936668763,511.75404063331234,0.8814486787989425,usable_with_caution,5.36,53.75,149211.0,63729.0,0.4271065806140298,False
06037701201,06,037,701201,Census Tract 7012.01; Los Angeles County; California,3730,332,448,167,12.01,123,104,71,68,194,124.25779653607253,69.74220346392747,318.25779653607253,0.640504105856044,usable_with_caution,5.2,43.3,190074.0,58473.0,0.3076328166924461,False
06037701202,06,037,701202,Census Tract 7012.02; Los Angeles County; California,3203,418,223,100,6.96,74,49,12,18,86,52.20153254455275,33.79846745544725,138.20153254455275,0.6069945644715435,usable_with_caution,2.68,38.57,131992.0,28100.0,0.21289169040547912,False
06037701302,06,037,701302,Census Tract 7013.02; Los Angeles County; California,4789,538,619,217,12.93,91,79,0,14,91,80.23091673413684,10.76908326586316,171.23091673413683,0.8816584256498554,usable_with_caution,1.9,14.7,130000.0,28125.0,0.21634615384615385,False
06037701304,06,037,701304,Census Tract 7013.04; Los Angeles County; California,5965,752,618,263,10.36,101,82,105,116,206,142.0563268566381,63.943673143361906,348.05632685663807,0.689593819692418,usable_with_caution,3.45,33.33,134185.0,19899.0,0.1482952640011924,False
